id,bathrooms,square_footage,lot_size,year_built,bedrooms,price
96,2,7283,29926,2013,8,$376189.69
41,3,6196,25579,1999,6,$152052.23
18,3,5383,14475,1993,7,$99714.24
16,3,8229,12872,2011,7,$216690.75
54,1,6135,11044,1993,5,$290467.40
66,3,6779,1833,2006,10,$97129.27
4,4,9879,10548,2009,5,$278537.60
17,3,7683,17473,1993,2,$110839.32
74,2,2517,43838,1994,7,$289526.33
46,5,3793,5078,2005,2,$453575.95
30,5,9421,48851,2005,2,$211488.86
54,1,9271,31271,2000,9,$431220.05
86,3,6555,43779,2001,1,$113957.78
83,3,7356,11687,1955,8,$425926.09
22,2,4788,45571,2003,7,$295036.20
23,6,4967,5881,1999,5,$217808.38
36,2,6807,46095,1986,3,$232502.04
5,5,2304,34309,2012,7,$467994.85
18,5,5305,45836,2004,8,$166365.15
47,2,2056,44694,1991,2,$209707.34
70,1,9361,35375,2012,6,$86726.06
20,3,6023,13514,2006,4,$131744.78
71,6,7294,42290,2007,3,$274494.22
26,6,3325,11613,2008,1,$157661.02
53,2,9548,32477,1994,5,$324940.78
85,1,3044,23031,2007,9,$414034.89
49,3,4102,49553,1997,6,$61957.44
5,3,3722,21197,1985,10,$267096.40
90,6,4086,21954,2010,9,$173963.06
23,6,2528,23623,2010,7,$499875.20
17,6,9801,28043,1986,7,$486088.53
46,5,733,27404,2005,9,$128054.08
13,3,8081,5438,2003,7,$174795.62
98,4,5899,20215,2009,9,$434468.45
45,4,1786,10042,2010,5,$353144.05
61,5,2910,27551,2006,10,$68121.30
90,5,3457,41689,2012,10,$218054.89
35,1,9554,4214,2008,7,$447949.82
55,1,4727,10515,1992,8,$315954.37
98,5,8314,7095,1989,5,$87238.28
74,6,4804,31310,2007,2,$244668.66
2,3,3803,43660,2007,8,$118329.78
77,4,2963,28436,2005,3,$100064.80
69,3,5250,43525,2009,9,$53080.45
76,5,8611,30743,1988,3,$230079.69
6,4,7576,48197,1999,4,$203716.81
49,5,4403,13716,2010,5,$448397.00
10,1,4707,44176,2012,4,$384943.53
86,6,5644,41959,1994,6,$77007.02
98,6,6378,29674,1995,9,$270912.55
37,4,9286,43271,2012,3,$60918.70
24,1,9720,16331,1992,2,$109995.45
42,2,9783,7734,2010,4,$71969.79
48,2,6093,2900,2000,8,$476518.18
82,3,5514,49455,1986,2,$92398.07
7,3,6882,11579,2000,9,$421075.64
95,1,8351,4364,1998,5,$61258.45
98,2,6394,6328,2010,3,$341024.67
95,2,4387,38277,1995,7,$466928.21
47,5,8209,30607,1984,3,$449961.68
95,1,2677,6087,1997,3,$418158.38
85,1,8830,3139,2004,9,$325612.28
6,1,1870,30094,2011,5,$317487.56
16,6,6316,42273,2004,7,$380498.21
51,6,7106,16106,1997,2,$436038.76
80,3,5759,28092,1994,5,$135413.77
50,5,9763,15762,2010,10,$282541.27
63,3,4955,20952,2008,8,$109281.72
7,3,6437,25427,1993,6,$68027.98
43,6,7636,36359,1994,3,$469303.69
96,4,8040,24413,1984,2,$499135.69
98,5,7976,27197,1994,2,$236929.42
24,6,2072,4418,1998,4,$407384.47
83,3,7433,16730,1991,4,$357544.89
15,1,6514,25467,2004,1,$75100.51
88,1,1869,19974,2005,5,$291856.61
49,5,4652,4054,2003,8,$337553.04
81,4,7155,23392,1996,1,$62844.27
99,2,4304,7995,2011,10,$204740.15
97,1,7425,42429,2000,5,$251143.04
65,5,8813,19455,1985,8,$81029.55
74,6,5101,6813,2006,1,$214712.18
14,4,5812,3093,2008,10,$250321.75
35,5,6266,39159,2008,5,$351988.06
69,5,8055,43731,2012,8,$177646.95
97,4,2074,45267,2010,1,$50784.14
98,2,1849,35211,1991,4,$293666.87
21,2,4773,26329,1992,9,$300103.53
57,3,8902,8695,2013,4,$336337.65
85,1,8519,18865,1991,7,$151427.68
56,4,1082,24327,2007,7,$496620.67
22,1,8885,42338,1965,1,$248742.05
19,2,6565,48239,1996,8,$313559.66
2,3,2928,48332,2008,1,$411837.37
68,1,5005,24809,1989,2,$268383.92
32,3,1614,25624,2011,8,$199338.70
16,4,8075,17166,1995,5,$316332.15
82,6,6121,37430,1983,4,$141791.76
60,1,822,48036,1989,1,$203947.22
74,1,3592,28999,1996,6,$270592.50
26,5,7031,28430,1994,5,$213033.74
72,5,9079,49479,2003,8,$285002.31
56,4,5603,13925,1993,9,$392605.63
6,4,6777,28478,2008,9,$343883.18
44,6,1789,8551,2009,3,$242353.28
93,1,7276,40824,1999,10,$299368.69
47,3,2675,36585,1996,1,$446595.36
53,4,4030,9153,2006,10,$57612.43
88,2,6991,34344,1994,4,$385422.96
100,5,2399,43696,2004,8,$304374.08
64,3,4838,13299,2003,10,$204355.12
29,3,9045,32880,2005,3,$463646.81
37,5,4007,25817,2001,8,$295619.02
40,6,5125,16258,1987,5,$406147.39
88,1,4305,43669,1990,3,$402677.97
58,2,2934,13886,2007,6,$459251.03
80,2,8069,28966,2008,8,$145864.89
64,5,2816,7155,1996,9,$52052.99
95,6,5380,3992,2011,4,$169224.52
35,5,9663,34164,2001,9,$134594.62
79,1,7760,42183,2006,8,$406919.32
39,3,5611,38769,1991,6,$283813.54
42,6,5715,5528,2004,8,$478257.22
67,2,7178,47664,2011,8,$258365.39
95,2,5492,35036,2011,9,$456468.85
27,2,542,40490,1996,9,$357112.22
90,4,8781,11711,2000,3,$234078.20
99,6,7467,23417,1998,10,$474876.45
76,5,6443,36536,2011,8,$120435.38
75,2,3542,2123,2007,9,$413645.15
88,4,9973,7475,1998,10,$225949.25
82,3,7359,37713,2001,1,$74215.49
3,4,8096,25669,1996,6,$297840.21
35,2,1532,43954,1987,3,$427491.90
37,1,6502,20965,2005,9,$203714.87
62,3,5557,12273,2000,4,$132652.83
31,6,4813,7338,2001,10,$367209.35
40,1,9977,49005,1993,10,$407548.78
81,1,2859,32227,1986,6,$175559.27
22,4,5630,7465,2002,3,$457005.65
72,3,9994,3529,1996,1,$484917.36
33,4,7130,45543,2008,6,$441152.48
26,1,3797,39040,2004,1,$52044.70
99,1,4197,4182,2006,10,$461252.28
42,6,3977,39125,2001,4,$240616.96
30,3,4636,28646,1999,7,$332419.42
37,4,2001,4628,1994,7,$257670.17
83,6,6191,40832,1999,2,$183902.05
93,6,7265,28875,1999,6,$114942.26
93,6,8003,19418,2010,10,$141365.78
68,3,8535,9554,1994,6,$136763.91
36,6,8948,37226,2007,9,$259786.12
84,2,4870,37289,2007,5,$106342.29
54,4,2555,11051,2007,3,$308617.29
47,6,5568,21381,2010,8,$408188.95
86,3,7677,25470,2011,8,$456223.09
92,1,5790,28750,2009,9,$497570.37
78,4,764,18868,2006,8,$109047.66
57,2,3622,8212,1995,10,$323016.83
1,1,9597,20641,1999,7,$127934.15
16,5,7542,22626,2012,6,$103231.81
80,6,1530,6455,2004,10,$242189.15
93,6,7742,37649,2011,6,$178727.36
46,4,1668,20125,2011,6,$452564.13
51,3,9071,6293,2010,9,$259429.74
73,2,7378,44096,2005,5,$153639.69
92,5,2707,29669,1989,7,$323557.60
80,6,2169,6097,2003,9,$472503.85
72,3,6466,35973,2010,9,$127091.06
55,1,9118,18546,2010,8,$262134.25
75,3,7336,28402,2007,6,$355371.63
22,1,9621,26615,2002,4,$54295.08
55,5,8774,11016,2009,1,$222624.40
84,3,6185,42237,1994,2,$58745.21
1,6,7776,7381,1997,6,$242352.19
39,6,1483,42194,2005,2,$431645.94
76,6,2587,11413,2012,3,$247833.36
58,6,8960,17768,1994,6,$169780.05
67,6,3462,4234,2005,1,$231319.68
18,4,6625,23711,2010,10,$471706.63
33,1,1335,35949,1990,9,$298408.68
71,6,3592,14827,2011,7,$118949.76
86,1,9313,5272,2012,6,$278074.63
27,3,9763,17156,2012,4,$474314.79
35,3,7408,39711,2005,1,$346258.41
7,4,7761,10217,2005,5,$188684.44
87,4,9246,5176,1999,2,$136872.07
40,2,6454,13434,2008,9,$400994.90
76,5,1100,20779,2009,9,$307282.82
28,5,2048,24877,2004,8,$433554.52
23,5,6358,29515,2004,7,$225986.56
42,3,9390,25174,1994,7,$296595.79
70,3,1000,26321,2004,4,$375123.56
22,4,6973,16011,2000,10,$266593.89
20,3,8273,26269,1993,3,$62830.63
77,5,4684,35126,2010,1,$64435.16
21,3,8928,24499,2004,1,$362174.57
39,3,8505,35270,2003,8,$77809.89
86,2,8498,9281,2009,1,$405293.26
90,6,1936,31938,1994,10,$145400.56
26,6,519,11638,2007,3,$229046.72
47,2,4279,36097,1996,10,$280190.18
79,1,1749,48979,2012,2,$476307.74
84,1,3531,11985,2009,2,$483385.08
37,4,7768,12191,2010,3,$438367.84
95,6,9479,3455,1986,8,$472366.94
48,4,3242,46666,2004,4,$466127.62
38,3,8726,15381,1999,7,$494008.73
61,3,8761,47657,2011,10,$341621.52
60,2,6427,32568,2006,1,$448411.14
85,5,2801,27471,2003,1,$68680.10
6,6,4555,32672,2004,8,$387902.24
99,6,1859,8078,1989,1,$454003.84
88,3,9032,20673,2012,3,$182406.70
83,5,4603,2851,1992,4,$430234.37
30,2,8362,43964,1959,3,$352766.91
54,6,2689,24949,1996,8,$453745.81
54,2,7610,17055,2005,3,$444638.84
2,2,2345,44410,1997,9,$118378.38
99,4,1859,19266,1999,1,$327106.06
5,2,6374,26234,2008,9,$155229.41
82,6,8743,32650,1994,3,$417992.73
26,3,6616,6046,2009,2,$350199.87
78,1,1154,22710,2004,3,$344677.96
32,6,6705,24998,1996,3,$157486.65
19,6,3345,38021,2009,5,$106612.98
80,4,8753,44491,1983,8,$169941.88
70,6,6803,4710,2010,3,$110937.47
64,4,1991,14113,1993,1,$319000.76
53,4,4978,37495,2002,4,$436423.71
10,4,3074,41575,2008,10,$481360.11
79,1,7559,18655,2010,1,$290398.66
37,2,7940,44417,1992,10,$451946.29
49,6,2080,23075,2007,9,$329560.41
83,2,3819,13627,2008,6,$315368.77
79,1,6459,2519,1996,3,$92383.40
33,5,6830,13772,2004,6,$196110.40
37,2,7232,37678,1992,1,$89179.66
20,1,8218,34089,1968,8,$240749.83
60,1,4261,41831,2004,2,$344394.04
90,2,9911,25099,1992,4,$203211.41
26,6,7747,47646,2004,5,$372181.34
93,3,4627,32275,2008,3,$361088.26
38,3,2470,3979,1996,10,$59712.62
39,4,9784,37313,1992,7,$168538.71
2,1,6124,6571,2007,9,$406828.82
7,2,8473,12590,2005,6,$206508.77
83,5,9788,13751,2011,2,$167290.07
68,1,2284,9982,1998,9,$204512.41
30,4,1077,29189,2001,9,$482380.38
96,2,5161,11234,2006,9,$467521.49
50,5,1628,47092,1996,9,$393521.37
71,3,6318,26163,1995,3,$440609.93
62,1,9362,1675,2009,7,$188724.90
6,6,9712,19278,2003,5,$119671.05
82,1,8355,12402,2003,5,$215120.77
85,6,9020,26977,1992,6,$488238.38
7,1,7210,37110,2005,8,$414517.85
7,4,9276,18515,2010,6,$324117.94
66,3,3518,2119,2006,9,$408967.22
93,5,3292,39023,2004,10,$475300.55
54,1,3377,42961,2009,6,$428868.82
46,3,1698,20192,2001,7,$62554.14
72,2,6402,16581,1999,3,$308993.84
50,2,4696,47251,2012,2,$217612.54
25,4,1216,45745,1995,8,$404948.03
17,6,9864,4007,1992,3,$279857.75
37,2,2172,6638,2006,3,$303764.75
15,4,9303,31890,1977,7,$306613.37
97,2,9280,26478,2006,6,$306899.58
91,3,5914,4149,1991,10,$379076.97
49,2,9303,26472,2009,2,$312430.52
63,5,8397,5961,1995,10,$112312.24
88,6,8019,32580,2002,5,$132843.89
66,6,4751,24053,1990,7,$243997.16
25,6,6109,48264,2000,6,$495572.52
18,2,6039,45651,1992,4,$270939.18
84,5,4505,44362,1989,4,$51085.98
50,1,5532,30585,2011,2,$120013.06
99,5,8758,15783,2002,5,$431363.85
9,2,3568,15564,2010,5,$494906.54
85,4,1383,8978,2002,4,$451568.50
31,2,7486,47743,1992,4,$422971.99
45,3,9338,30945,2010,4,$100049.70
7,4,6894,20374,1960,5,$480028.81
17,4,4405,15200,1994,3,$233879.02
28,2,1469,38681,1996,5,$463459.73
81,3,8626,3329,2004,6,$171282.33
56,6,3005,27056,1986,1,$85271.85
62,1,2616,1128,2011,2,$447876.17
100,2,6815,31260,2006,8,$432910.99
60,3,8684,27701,1992,3,$274712.53
29,4,871,41223,2012,6,$479420.92
85,2,7838,21039,1995,4,$430861.23
2,5,2951,23423,1990,5,$453493.79
77,3,9108,6495,2000,2,$457792.93
42,2,6160,10905,2005,7,$323169.99
70,2,1951,19480,2008,9,$186568.07
82,6,9065,31580,2000,5,$340320.14
44,5,3077,36527,1996,10,$464578.78
91,6,6783,17960,2001,7,$346642.01
54,1,4679,48453,2004,8,$472355.52
35,4,2886,31990,2001,1,$138740.68
28,3,1273,39778,1997,10,$146059.24
56,6,1082,39111,2009,3,$450405.39
9,3,2512,28667,1988,4,$99738.84
18,3,6518,34304,2005,5,$129304.97
59,4,4527,33225,1995,6,$421820.36
94,6,5523,38021,2006,8,$355952.64
27,6,7849,20525,2009,2,$482334.25
24,6,4750,37500,1991,1,$414744.25
4,1,9278,43387,1992,3,$108168.07
66,6,9026,49909,2004,7,$302365.28
69,2,4691,26941,1994,3,$343097.60
96,3,7993,41587,2011,6,$273184.26
19,1,1350,40037,1989,9,$342837.88
27,2,4435,13363,2001,1,$370221.82
45,1,5939,2856,1963,5,$287611.58
69,1,556,42287,1982,8,$424316.68
71,6,8487,42327,1985,1,$124536.04
78,2,9241,9584,1990,8,$460384.17
26,6,7821,23345,1996,4,$448113.34
84,2,3173,6412,2008,2,$189236.15
44,3,8009,33132,1991,8,$348238.72
7,1,8084,1502,1991,9,$302433.27
94,2,3407,7056,2011,2,$166563.01
38,3,6980,49510,1990,7,$108577.18
87,3,9397,44060,2006,5,$388835.80
33,2,8848,2014,2001,6,$163045.40
11,5,985,24697,2000,8,$78414.82
37,6,5671,26920,1991,7,$399691.47
70,2,8467,28558,2006,10,$216299.37
43,4,8616,29713,1994,6,$245900.44
42,6,4385,30533,2004,3,$98462.66
48,5,8285,20399,1993,5,$100675.86
71,6,4905,11027,1998,7,$230996.51
82,5,6956,34746,1986,8,$461515.33
73,3,6116,49607,1963,7,$260376.98
72,2,2775,48213,1987,9,$453305.52
96,6,4031,10113,2000,3,$168609.04
58,5,8106,21565,2010,2,$120404.34
97,3,3779,25384,1995,6,$415287.06
34,5,6663,45849,2010,4,$92490.44
53,3,4564,35651,2008,6,$439830.33
81,2,1569,6712,1990,2,$307944.63
92,2,5230,47971,2001,7,$401471.71
39,3,2544,1358,1997,7,$256236.00
91,3,7965,31725,1995,5,$381016.22
79,1,9143,16077,1986,5,$492745.22
3,3,5601,43497,2011,7,$460794.53
78,2,3252,16498,1970,8,$492618.32
86,1,3771,18736,2004,8,$456373.82
23,6,3555,41105,1988,2,$454664.74
10,5,8997,39412,1991,9,$156806.12
7,5,4738,22862,1994,5,$99772.60
46,5,6960,39283,2006,4,$281055.34
98,3,4103,23532,2007,2,$366278.20
28,4,516,27622,2004,2,$108416.04
100,5,1046,33419,1997,7,$495584.39
78,6,2446,14396,2004,1,$172397.00
72,4,3530,24161,2009,10,$122842.94
66,1,8330,22018,1965,5,$430580.06
26,4,1323,12249,2009,8,$473844.27
39,1,2871,34003,1992,9,$309824.00
97,6,4293,15220,1985,1,$480077.38
93,1,8465,1611,2000,9,$112144.94
86,6,7821,9879,2010,2,$435915.48
40,6,2659,45314,1998,4,$243392.37
43,5,5214,42369,1999,3,$327034.89
31,2,6018,48208,1998,7,$279235.27
42,6,6855,17823,1996,10,$168723.28
97,2,1480,5897,1997,1,$200912.29
24,2,840,24674,2008,1,$274525.83
13,1,5259,23522,2004,1,$385386.08
31,4,4468,33401,1995,2,$261026.93
93,6,3789,4302,1999,6,$134523.45
94,2,2215,42800,1986,3,$166832.08
55,5,8338,44122,1993,6,$368609.43
38,3,7370,23774,2010,4,$128920.60
34,4,8663,30567,2009,3,$150443.15
94,5,3091,1234,2005,1,$181337.69
3,1,4689,49684,2011,3,$421788.73
98,4,7491,25951,1995,2,$54507.37
64,2,4602,39766,2002,3,$261726.85
34,5,2597,5008,1995,5,$196917.56
55,6,9802,5587,1984,5,$418980.77
11,2,9871,15806,1990,5,$230389.34
3,1,7075,36366,2004,2,$166197.66
88,3,2911,13090,1992,8,$258828.24
70,5,6265,37704,1990,9,$182125.92
76,4,2301,42843,1988,9,$339854.85
31,1,6501,22487,2010,10,$254954.70
35,2,7048,21231,2010,10,$108663.75
41,5,4335,23060,2001,2,$252898.45
39,1,6278,31057,1999,4,$71737.69
21,6,5581,33525,1991,6,$331408.83
61,5,3016,33082,2004,4,$317810.43
15,2,5768,45999,2002,8,$325726.26
23,5,3315,14251,1992,6,$374440.87
34,2,626,8281,1999,10,$471463.60
80,2,3691,38348,1995,5,$326838.75
46,2,1615,7777,2008,4,$413985.75
5,3,2329,43422,1998,5,$463810.06
28,2,4382,5788,2006,3,$158051.45
97,2,2804,16645,2013,10,$228864.72
11,1,3667,20556,1996,4,$402791.25
69,5,8135,2408,2006,10,$171557.19
2,4,8543,47831,2004,10,$498144.08
16,6,2950,28228,2006,10,$224016.40
58,5,5792,35902,2012,8,$338288.57
98,2,6633,14212,1994,6,$479330.54
76,2,9013,7182,1996,2,$408157.48
9,1,4337,26855,2009,10,$335415.96
4,2,5271,26575,2001,5,$102135.03
100,6,9875,35910,1969,1,$103953.20
24,4,3910,21467,2006,10,$498932.19
8,6,6660,23236,2005,8,$335328.71
73,2,7669,8554,1984,4,$289172.31
57,5,3455,35402,2009,4,$245805.38
47,6,4254,20227,1988,8,$441091.90
92,3,8990,24318,1995,7,$171655.87
57,5,1911,19766,1996,7,$293625.60
78,1,5530,44724,2006,3,$132785.20
60,5,9254,5028,1968,7,$275032.87
28,2,3331,2483,1993,3,$224344.88
12,1,9145,41639,2002,3,$498775.03
26,3,4617,29194,1993,4,$267311.28
60,5,7046,9645,2007,9,$452734.53
1,3,6751,43243,1998,3,$168027.25
12,4,2929,25419,2008,8,$386777.76
42,4,3860,12320,2005,7,$201804.91
47,2,9930,8709,1993,1,$294283.20
100,5,1055,43726,2001,9,$103894.43
57,3,6999,33522,2005,6,$395433.72
85,6,2750,15534,1996,2,$87726.51
49,3,9093,26793,1996,1,$186962.26
7,6,4119,14007,2008,9,$89360.40
51,1,6137,46680,2012,2,$70325.86
26,5,5109,30426,2011,9,$70557.42
18,3,4566,39000,2007,6,$393735.89
79,2,1695,28082,2005,1,$272223.03
8,3,3081,12149,2008,9,$124332.79
33,2,3562,38670,2007,6,$268085.56
24,6,9850,48512,2005,10,$335944.22
21,3,9547,7123,1997,6,$394382.33
21,1,5050,18444,1998,1,$489665.92
88,6,4212,36213,2002,10,$187014.63
9,4,2768,9609,2004,8,$351940.37
64,4,2924,9705,1992,1,$199064.18
100,2,9267,20716,2011,9,$417406.40
79,6,7642,43352,1996,4,$376941.71
47,3,7177,45794,1994,9,$149600.89
41,2,3373,25000,2010,6,$298178.67
72,5,7551,31662,1994,5,$182978.20
42,4,1219,40123,2010,9,$378962.47
3,4,2444,44731,1998,10,$229560.13
59,2,8422,34758,1994,10,$240916.51
99,2,974,29854,2011,10,$456727.23
94,4,5308,26303,2011,1,$254676.87
46,1,7227,37898,1987,4,$115021.21
74,1,5915,49446,2002,5,$347900.14
94,6,8712,15879,2005,10,$67779.36
100,6,3660,38669,2005,8,$98359.22
35,2,3799,25542,2001,4,$119663.89
79,5,8808,43148,1992,6,$290600.14
57,2,3486,17397,1996,9,$300311.51
36,1,894,10432,1996,9,$247472.28
1,2,2829,48261,2011,5,$442284.92
77,4,4230,47680,1994,1,$182430.90
21,4,7116,6600,2009,8,$318119.13
87,1,3367,26429,2009,3,$466548.91
28,3,1595,26276,1996,2,$144922.80
39,4,7350,6859,2009,6,$161400.49
47,1,4742,17374,2007,10,$319743.89
96,6,1771,28145,2000,6,$216673.53
54,1,1873,39307,1972,4,$458540.60
93,5,1453,36991,1994,5,$368427.41
70,6,8704,8473,1998,4,$425786.06
65,6,6791,25755,1992,9,$143292.14
28,2,8084,28007,1997,3,$315448.74
42,5,3431,12063,2006,1,$56773.47
85,3,9055,17297,1997,5,$195614.44
32,2,3595,5441,1999,9,$318931.77
45,4,5678,18903,2002,7,$330752.46
19,4,9671,30486,2010,3,$50758.65
36,4,1206,22554,1996,9,$189391.56
92,5,6966,3369,2009,4,$87084.05
70,1,9828,41179,2007,10,$243832.26
72,5,9659,16104,1990,7,$302351.62
32,4,6886,25161,2010,6,$298554.68
72,3,6736,23960,1996,8,$379976.24
55,4,7796,2853,2009,10,$200083.23
7,3,6588,38812,2001,8,$354246.16
69,5,2718,21608,1988,6,$225909.84
72,4,5880,44628,2001,2,$226572.18
76,3,1459,35349,1994,1,$52723.95
1,4,8658,29696,2011,3,$487363.81
38,2,4408,28977,1999,1,$99540.54
6,2,1422,12888,1999,6,$251211.66
76,5,8506,43229,1997,5,$367019.17
81,4,9939,46736,1960,2,$81546.78
50,3,4054,43394,2012,4,$252281.60
82,4,4511,8851,2003,6,$369160.32
43,5,6074,46820,1996,10,$306296.35
16,3,5650,23791,1987,1,$272689.84
39,5,9733,17358,2009,5,$284637.42
92,3,6043,2226,2001,2,$389477.89
21,2,9255,35730,1991,4,$62709.01
36,3,3851,19807,2006,4,$195146.41
28,3,9820,16656,2002,9,$146173.96
25,2,899,34036,2000,7,$254624.69
7,4,9814,6775,2003,6,$397391.44
98,5,3026,29252,1996,2,$58662.23
98,2,3976,18912,2003,1,$207293.05
20,5,4089,49783,2013,9,$166482.90
31,1,3697,44845,2003,6,$456827.67
99,5,1566,30288,2000,10,$295568.40
82,5,9466,45361,2006,7,$207401.53
82,6,2874,38760,1998,2,$373334.46
96,2,1913,15228,1994,2,$114753.05
46,3,3355,36266,2009,10,$326665.51
57,4,1507,16598,1994,8,$300401.23
58,3,9796,11566,1997,2,$324038.67
49,4,1708,8863,2008,3,$426001.92
98,3,3071,26948,1987,3,$437159.60
53,4,4385,7252,2009,8,$211496.05
12,1,5684,20276,2010,5,$375718.10
14,2,8952,20849,1992,7,$166536.52
81,4,1043,9204,2004,7,$124238.38
48,2,8155,23206,2009,10,$131341.31
63,2,808,41499,2008,9,$102584.28
2,1,4312,9417,2008,10,$498919.88
68,4,7455,13900,1974,10,$353259.69
14,2,2769,8697,1994,5,$299239.10
99,3,1982,40421,1981,4,$245653.00
90,6,7536,43428,1995,1,$108449.43
89,4,6810,14616,2005,4,$133864.02
17,5,9797,19119,1997,7,$125413.20
71,3,1253,35830,2011,3,$314353.36
21,5,2251,30281,1988,4,$374069.13
81,2,1733,31066,2000,3,$457644.77
92,5,3348,28403,2012,2,$392273.57
100,5,6040,14827,1992,4,$422068.42
78,4,9861,13911,2004,3,$260985.59
50,1,7394,35943,1999,5,$108179.62
85,3,3978,24969,2005,10,$353718.07
43,3,6150,23146,2007,10,$133086.06
12,6,5633,27553,2009,10,$103476.35
91,3,2985,5123,2004,5,$340729.74
1,6,875,21591,1988,4,$92037.20
97,5,1781,46062,2004,3,$337577.52
15,4,7397,28365,1997,3,$343301.05
9,5,6301,48587,1998,7,$199725.36
16,6,6447,10925,1984,5,$233940.99
7,1,9481,44678,1997,1,$471788.03
70,5,7166,2229,1997,5,$317194.15
61,2,5267,16664,2003,10,$152445.22
25,5,7836,41120,2008,1,$185369.48
72,3,2384,2222,2000,6,$79760.12
52,3,6753,49599,2006,7,$476649.29
56,5,7550,31560,1997,2,$132289.48
70,5,6669,14501,2011,7,$152299.39
74,3,5083,32968,2002,5,$392621.18
29,1,6901,15242,2009,4,$225741.35
18,1,9112,32655,1998,2,$243572.57
67,1,1716,24629,1986,8,$348850.69
44,1,3285,20705,2010,10,$256067.28
79,4,1469,14113,2011,5,$468333.33
72,2,1290,40976,1999,1,$148441.96
91,5,4419,37209,2007,8,$84726.73
76,2,9171,47016,2000,7,$154023.75
72,6,3920,23668,2008,10,$480234.60
35,3,5275,12826,2003,10,$382758.94
69,6,6183,16758,1994,10,$362023.44
27,4,7053,27329,1990,7,$222095.21
36,2,7652,39038,1994,10,$71955.15
5,6,6219,15323,2005,8,$205060.78
75,5,8180,29683,2000,8,$367112.00
30,2,6999,1574,1996,2,$279105.45
65,3,4761,42536,1991,10,$242135.34
27,3,9401,26349,2002,2,$249277.40
66,1,4230,45581,2000,6,$191499.50
94,4,5048,48790,2010,1,$218999.42
82,6,7623,32662,2009,5,$345531.85
27,1,8366,19541,1996,2,$209530.17
38,6,1596,40848,1994,5,$159307.16
84,6,5659,35693,2001,2,$111285.77
6,1,2953,31647,2009,8,$106834.48
76,2,3397,12185,1992,3,$452714.39
25,2,7043,34482,1983,5,$444245.76
41,4,7602,14937,2008,7,$368500.58
43,2,6834,49577,2011,9,$489664.28
39,4,5903,28395,1997,7,$213456.95
56,2,1662,48272,1995,5,$297585.75
66,4,7545,32596,2010,9,$409300.85
6,3,2557,28078,1966,9,$133438.83
23,1,4565,24993,2001,9,$462274.23
28,1,1418,33669,1996,8,$367376.98
44,6,1901,33787,1997,6,$267098.14
11,4,995,2940,2002,9,$341067.04
69,1,3253,19248,2000,9,$68743.28
54,5,3417,20155,2005,3,$95553.56
33,6,3440,15031,2004,5,$211878.29
85,6,4334,11563,2012,10,$451851.03
77,3,1470,40127,1986,8,$466585.56
19,4,5500,16865,1994,1,$192875.38
79,4,5220,16864,1994,10,$266130.18
9,2,6161,17163,1983,6,$293580.87
